# Number of profiles,,,,,
1,,,,,
# ProfileID,Characterization Frequency,Frequency Scale,EPI Scale,Characterization Name,Characterization Description
400,1.00E+06,1.00E-12,Tiwari in ASIC 45nm,Tiwari Method for FreePDK45nm
# Stall consumption,,,,,
14.1,,,,,
1,lb,42.2,,,
2,lbu,38.57,,,
3,lh,43.2,,,
4,lhu,41.59,,,
5,lw,38.96,,,
6,lwl,38.96,,,
7,lwr,38.96,,,
8,sb,40.73,,,
9,sh,40.35,,,
10,sw,34.69,,,
11,swl,34.69,,,
12,swr,34.69,,,
13,addi,48.12,,,
14,addiu,48.37,,,
15,slti,39.72,,,
16,sltiu,39.6,,,
17,andi,36.61,,,
18,ori,45.06,,,
19,xori,44.36,,,
20,lui,38.96,,,
21,add,43.78,,,
22,addu,43.58,,,
23,sub,42.59,,,
24,subu,42.69,,,
25,slt,35.58,,,
26,sltu,35.48,,,
27,instr_and,34.55,,,
28,instr_or,43.87,,,
29,instr_xor,40.64,,,
30,instr_nor,47.86,,,
31,nop,32.28,,,
32,sll,34.69,,,
33,srl,34.71,,,
34,sra,35.36,,,
35,sllv,33.06,,,
36,srlv,40.45,,,
37,srav,41.31,,,
38,mult,41.23,,,
39,multu,40.22,,,
40,div,44.97,,,
41,divu,44.32,,,
42,mfhi,33.06,,,
43,mthi,33.06,,,
44,mflo,35.71,,,
45,mtlo,35.63,,,
46,j,39.84,,,
47,jal,43.21,,,
48,jr,35.16,,,
49,jalr,36.62,,,
50,beq,45.75,,,
51,bne,45.75,,,
52,blez,45.75,,,
53,bgtz,45.75,,,
54,bltz,45.75,,,
55,bgez,45.75,,,
56,bltzal,45.75,,,
57,bgezal,45.75,,,
58,sys_call,0,,,
59,instr_break,0,,,
