# Number of profiles,,
1,,
# ProfileID, Characterization Frequency,Frequency Scale,EPI Scale,Characterization Name,Characterization Description
100,1E6,1E-9,"mips plasma xc5vlx50t", "Plasma Characterization xc5vlx50t at 100MHz"
# Stall consumption
0
1,lb,4.73
2,lbu,3.85
3,lh,5.36
4,lhu,3.33
5,lw,4.66
6,lwl,4.66
7,lwr,4.66
8,sb,5.84
9,sh,6.01
10,sw,6.23
11,swl,6.23
12,swr,6.23
13,addi,1.04
14,addiu,1.05
15,slti,0.83
16,sltiu,0.81
17,andi,0.76
18,ori,0.8
19,xori,0.93
20,lui,0.77
21,add,1.13
22,addu,1.11
23,sub,1.13
24,subu,1.1
25,slt,0.65
26,sltu,0.65
27,instr_and,0.65
28,instr_or,0.8
29,instr_xor,1.11
30,instr_nor,1.02
31,nop,0.53
32,sll,0.67
33,srl,0.67
34,sra,0.91
35,sllv,0.65
36,srlv,0.65
37,srav,0.84
38,mult,0.99
39,multu,0.98
40,div,2.21
41,divu,1.93
42,mfhi,0.58
43,mthi,0.71
44,mflo,0.58
45,mtlo,0.7
46,j,2.88
47,jal,3.88
48,jr,3.95
49,jalr,3.71
50,beq,2.47
51,bne,2.47
52,blez,2.47
53,bgtz,2.47
54,bltz,2.47
55,bgez,2.47
56,bltzal,2.47
57,bgezal,2.47
58,sys_call,0
59,instr_break,0
